category,provider,product,model,version,quality,cost,latency,api,commercial_use,data_policy,availability,score,selection,reason,risk
TTS,Google Cloud,Text-to-Speech,Chirp3-HD / Neural2 fr-FR,v1,UNKNOWN_untested,UNKNOWN_verify_official,UNKNOWN_untested,REST + SDK,YES per Google Cloud terms,UNKNOWN_verify_DPA,REACHABLE_from_this_env,,PRIMARY,seul fournisseur TTS joignable depuis cet environnement; couvre aussi ASR et video avec un seul credential,dependance unique a un seul fournisseur
TTS,ElevenLabs,TTS API,Multilingual v2 / Flash v2.5,v2.5,reference_marche,~50-100 USD/1M car (source secondaire),UNKNOWN_untested,REST,YES plan payant,UNKNOWN,BLOCKED_proxy_403_CONNECT,,SECONDARY,qualite de reference mais injoignable ici,necessite changement de politique reseau
TTS,Cartesia,Sonic,Sonic 3,3,reference_marche,~35 USD/1M car effectif (source secondaire),faible annoncee,REST + WS,YES,UNKNOWN,BLOCKED_proxy_403_CONNECT,,BACKUP,latence annoncee faible,injoignable ici
TTS,Azure,Speech Service,Neural / Neural HD fr-FR,v1,eprouve,16 USD/1M car Neural; 22 USD/1M Neural HD; 500k car/mois gratuits (source secondaire),UNKNOWN,REST + SDK,YES,UNKNOWN,BLOCKED_proxy_403_CONNECT,,BACKUP,palier gratuit interessant pour E2,injoignable ici
LIPSYNC,sync.so,Sync API,UNKNOWN,UNKNOWN,reference_marche,facturation a la seconde generee; paliers 5-249 USD/mois (source secondaire),UNKNOWN,REST + acces API des le palier gratuit,YES,UNKNOWN,BLOCKED_proxy_403_CONNECT,,PRIMARY_candidate,acces API sur palier gratuit = ideal pour smoke test,DEPENDANCE LA PLUS DANGEREUSE - aucun equivalent joignable
LIPSYNC,Hedra,Character API,UNKNOWN,UNKNOWN,UNKNOWN,per-seconde moins cher annonce; vitesse et qualite en retrait (source secondaire),plus lente (source secondaire),REST,YES,UNKNOWN,BLOCKED_proxy_403_CONNECT,,SECONDARY,alternative moins chere,injoignable ici
LIPSYNC,LatentSync (auto-heberge),modele open source,LatentSync,UNKNOWN,inferieure a sync selon comparatifs,~0.01 USD/s de GPU cloud (source secondaire),UNKNOWN,self-hosted,YES licence a verifier,donnees locales,BLOCKED_no_GPU_in_env,,FALLBACK,supprime la dependance fournisseur,exige un GPU absent de cet environnement
ASR,Google Cloud,Speech-to-Text,fr-FR,v1/v2,UNKNOWN_untested,UNKNOWN_verify_official,UNKNOWN,REST + SDK,YES,UNKNOWN_verify_DPA,REACHABLE_from_this_env,,PRIMARY,joignable; horodatages mot a mot disponibles,dependance unique
ASR,Deepgram,Nova-3,Nova-3,3,tres bon en benchmarks,0.0043 USD/min batch = 0.26 USD/h (source secondaire),UNKNOWN,REST + WS,YES,UNKNOWN,BLOCKED_proxy_403_CONNECT,,SECONDARY,le moins cher des trois,injoignable ici
ASR,AssemblyAI,Universal,UNKNOWN,UNKNOWN,tres bon,~0.15-0.37 USD/h (source secondaire),UNKNOWN,REST,YES,UNKNOWN,BLOCKED_proxy_403_CONNECT,,BACKUP,,injoignable ici
VIDEO,Google Cloud,Veo via Gemini API,Veo 3.1 Lite / Standard,3.1,reference marche,0.05 USD/s Lite; 0.40 USD/s Standard avec audio (source secondaire),UNKNOWN,REST,YES,UNKNOWN_verify,REACHABLE_from_this_env,,PRIMARY,seul generateur video joignable; sert aussi a produire la banque de plans E1,cout eleve en Standard
VIDEO,fal.ai,agregateur,Kling 3.0 Pro / Wan / Vidu,varie,varie,0.05-0.40 USD/s selon modele; Kling 3.0 Pro 0.224 USD/s (source secondaire),UNKNOWN,REST,YES,UNKNOWN,BLOCKED_proxy_403_CONNECT,,SECONDARY,large catalogue a bas cout,injoignable ici
VIDEO,Replicate,agregateur,varie,varie,varie,~0.09 USD/s 480p; ~0.25 USD/s 720p (source secondaire),UNKNOWN,REST,YES,UNKNOWN,BLOCKED_proxy_403_CONNECT,,BACKUP,,injoignable ici
CHARACTER,Google Cloud,Veo 3.1,Veo 3.1 Lite,3.1,UNKNOWN_untested,0.05 USD/s Lite (source secondaire),UNKNOWN,REST,YES,UNKNOWN,REACHABLE_from_this_env,,PRIMARY,permet de produire la banque de 10 plans sans acteur humain ni consentement tiers,coherence inter-plans a verifier
STORAGE,local disque,systeme de fichiers,-,-,n/a,0,n/a,n/a,n/a,local,AVAILABLE,,PRIMARY,suffisant pour P0 - aucun besoin de stockage cloud avant la Phase 01,aucun
STORAGE,Google Cloud Storage,GCS,-,-,n/a,UNKNOWN_verify_official,n/a,REST,YES,UNKNOWN,REACHABLE_from_this_env,,SECONDARY,si partage externe necessaire pour E6,cout et fuite d assets
RENDERING,ffmpeg local,imageio-ffmpeg,7.0.2,7.0.2,valide en M03/M04,0 (CPU),12 s mediane mesure,binaire,YES LGPL/GPL a verifier,local,AVAILABLE_TESTED,,PRIMARY,deja valide sur 20 publicites produites,filtre drawtext absent - contourne par ASS
HUMAN_EVAL,formulaire local CSV,-,-,-,n/a,0,n/a,n/a,n/a,local,AVAILABLE,,PRIMARY,grille aveugle prete dans p0/eval/grid.csv,exige 3 a 5 personnes reelles
